Product_Reporting,Visitor_ID,State_Code
Purchase,1942176869569199775_5869983951828980103,37
Purchase,704756826104472571_768337614084701602,51
Refinance,4882991279043671428_6146030649988825464,51
Refinance,6611698696117253322_7150724904394946146,6
Refinance,2873386969997469484_4150261749802646808,17
Personal,2862933460081465958_7027822167732261509,6
Refinance,4647354511591172289_5901316309329686778,37
Purchase,3768502188862660792_3324132148656347215,6
Personal,1286550170072757951_6506591774056979719,32
Refinance,5259111685950010015_5568383220724530515,12
Purchase,5954019679387427296_1416767068525832756,55
Refinance,9064174346063469631_6478566335814275891,15
unknown,5491629458313207070_242378387265176331,24
unknown,7040304888832022623_4053104447270586861,53
Refinance,7040304888832022623_4053104447270586861,53
Personal,440232671741522844_9020362493105549099,13
Refinance,4810933861509878089_178753136104707962,48
Refinance,856728871501021500_3556993185383776155,53
Refinance,1489771954599942520_861184400092399949,55
Purchase,6342343388703779979_6769709593822396229,25
